场景编码,场景名称,记录ID,分组标签,业务对象,负责人,状态,优先级,截止日期,风险等级,最新更新,数据入口类型,来源系统,指标名称,指标单位,指标值,目标值,是否异常,下一步动作,外部链接
S1,林氏家居新品上市战情板,S1-01,SKU准备,云感沙发A12,王薇,进行中,P0,2026/7/10,高,主图已确认，规格图待补,本地文件 / Excel / CSV,商品台账,上市完成度,%,68,100,是,补齐规格图并锁定条码,https://example.com/test/s1-01
S1,林氏家居新品上市战情板,S1-02,SKU准备,原木餐桌B07,李博,待启动,P0,2026/7/12,中,价格带待商品委员会确认,连接应用 / SaaS,PLM,上市完成度,%,42,100,是,确认价格带后同步主数据,https://example.com/test/s1-02
S1,林氏家居新品上市战情板,S1-03,素材就绪,客厅套组KV,陈晨,进行中,P1,2026/7/8,中,精修图完成6/8，短视频脚本待审,本地文件 / Excel / CSV,素材库导出,素材完备度,%,75,100,是,补齐短视频脚本并完成二审,https://example.com/test/s1-03
S1,林氏家居新品上市战情板,S1-04,素材就绪,卧室套组短视频,何佳,阻塞,P0,2026/7/7,高,模特补拍延期2天,连接应用 / SaaS,DAM,素材完备度,%,58,100,是,重排拍摄并补齐镜头清单,https://example.com/test/s1-04
S1,林氏家居新品上市战情板,S1-05,门店上样,华东门店首批上样,杨凡,进行中,P0,2026/7/9,中,上海/杭州已排期，南京待确认,开放 API,门店运营系统,上样完成率,%,64,100,是,确认南京档期并同步陈列计划,https://example.com/test/s1-05
S1,林氏家居新品上市战情板,S1-06,门店上样,华南门店首批上样,孙蕾,待启动,P1,2026/7/11,低,陈列清单已下发，待门店回填,表单提交,门店巡检表,上样完成率,%,30,100,否,催回门店排期确认,https://example.com/test/s1-06
S1,林氏家居新品上市战情板,S1-07,交付异常,沙发送装一体交付,张可,阻塞,P0,2026/7/6,高,佛山仓干线晚点，影响广州首发,开放 API,OMS,交付准时率,%,81,95,是,切换备选承运并更新到店时间,https://example.com/test/s1-07
S1,林氏家居新品上市战情板,S1-08,交付异常,安装培训就绪,周宁,进行中,P2,2026/7/13,低,培训课件已发，签到名单待回收,本地文件 / Excel / CSV,培训台账,培训完成率,%,55,100,否,收集签到名单并安排补训,https://example.com/test/s1-08
S2,AI+BI 智数工作台,S2-01,问数,华东GMV日报,李嵩,已完成,P1,2026/7/9,中,昨日日报已生成，需解释环比下滑,开放 API,数据灯塔,GMV,万元,1500,1300,是,定位下滑门店并输出原因,https://example.com/test/s2-01
S2,AI+BI 智数工作台,S2-02,问数,华南转化率,王璇,进行中,P0,2026/7/9,高,移动端落地页跳失偏高,数据库 / 后端,用户行为库,转化率,%,2.8,3.2,是,拆渠道看跳失并输出改版建议,https://example.com/test/s2-02
S2,AI+BI 智数工作台,S2-03,解释,沙发类目低毛利解释,陈晨,进行中,P1,2026/7/10,中,床垫促销折扣高于预期,连接应用 / SaaS,经营分析助手,毛利率,%,23,27,是,解释毛利差并标注临促影响,https://example.com/test/s2-03
S2,AI+BI 智数工作台,S2-04,解释,退货率异常解释,何佳,阻塞,P0,2026/7/10,高,两款新品尺码投诉集中,开放 API,售后工单 API,退货率,%,8.6,5,是,归因尺码投诉并建议补充说明,https://example.com/test/s2-04
S2,AI+BI 智数工作台,S2-05,图表,大促日报核心图表,李博,已完成,P1,2026/7/9,低,GMV/UV/转化三图已生成,本地文件 / Excel / CSV,BI 导出报表,UV,万,86,80,否,沉淀成固定日报模板,https://example.com/test/s2-05
S2,AI+BI 智数工作台,S2-06,图表,渠道ROI图表,杨凡,进行中,P1,2026/7/11,中,短视频渠道ROI回升，搜索渠道偏低,连接应用 / SaaS,广告平台,ROI,倍,2.4,2.8,是,补齐搜索渠道投放解释,https://example.com/test/s2-06
S2,AI+BI 智数工作台,S2-07,跟进,华东GMV跟进行动,孙蕾,待启动,P2,2026/7/12,中,待确认门店补货和货盘策略,Prompt / 会话上下文,小林智数会话上下文,跟进行动数,项,3,3,否,生成负责人和截止时间清单,https://example.com/test/s2-07
S2,AI+BI 智数工作台,S2-08,跟进,转化率改善行动,张可,待启动,P0,2026/7/12,高,需拉齐前端、投放、商品三方动作,Prompt / 会话上下文,小林智数会话上下文,跟进行动数,项,4,4,是,生成分角色行动清单并回写,https://example.com/test/s2-08
